Filename,MLCS 8485 laser coated
Instrument name,SDT 1 LEFT (192.168.0.183)
Operator,dAA
rundate,10/24/2023
Sample name,MLCS 8485 laser coated
proceduresegments,Data Off ; Select Gas: Gas 2 ; Balance Flow 100 mL/min; Mass Flow  100.00 mL/min; Isothermal 10.0 min; Data On ; Ramp 10.00 °C/min to 500.00 °C; Data Off 
[step]
Ramp 10.00 °C/min to 500.00 °C
Time,Temperature,Heat Flow (Normalized),Weight
min,°C,W/g,%
0.29,30.04,-0.019,99.642
0.29,30.04,-0.019,99.642
0.29,30.04,-0.019,99.642
0.29,30.04,-0.019,99.642
0.30,30.04,-0.019,99.642
0.30,30.04,-0.019,99.642
0.30,30.04,-0.019,99.642
0.30,30.04,-0.019,99.642
0.30,30.04,-0.019,99.642
0.30,30.04,-0.019,99.642
0.30,30.04,-0.019,99.642
0.31,30.04,-0.019,99.642
0.31,30.04,-0.019,99.642
0.31,30.04,-0.019,99.642
0.31,30.04,-0.019,99.642
0.31,30.04,-0.019,99.642
0.31,30.04,-0.019,99.642
0.32,30.04,-0.019,99.642
0.32,30.04,-0.019,99.642
0.32,30.04,-0.019,99.642
0.32,30.04,-0.019,99.642
0.32,30.04,-0.019,99.642
0.33,30.04,-0.019,99.642
0.33,30.04,-0.019,99.641
0.33,30.04,-0.019,99.641
0.33,30.04,-0.019,99.641
0.33,30.04,-0.019,99.641
0.33,30.04,-0.019,99.641
0.34,30.04,-0.019,99.641
0.34,30.04,-0.019,99.641
0.34,30.04,-0.019,99.641
0.34,30.04,-0.019,99.641
0.34,30.04,-0.019,99.641
0.34,30.04,-0.019,99.641
0.35,30.04,-0.019,99.641
0.35,30.04,-0.019,99.641
0.35,30.04,-0.019,99.641
0.35,30.04,-0.019,99.641
0.35,30.04,-0.019,99.641
0.35,30.04,-0.019,99.641
0.35,30.04,-0.019,99.641
0.36,30.04,-0.019,99.641
0.36,30.04,-0.019,99.641
0.36,30.04,-0.019,99.641
0.36,30.04,-0.019,99.641
0.36,30.04,-0.019,99.641
0.36,30.04,-0.019,99.641
0.37,30.04,-0.019,99.641
0.37,30.04,-0.019,99.640
0.37,30.04,-0.019,99.640
0.37,30.04,-0.019,99.640
0.37,30.04,-0.019,99.640
0.38,30.04,-0.019,99.640
0.38,30.04,-0.019,99.640
0.38,30.04,-0.019,99.640
0.38,30.04,-0.019,99.640
0.38,30.04,-0.019,99.640
0.38,30.04,-0.019,99.640
0.39,30.04,-0.019,99.640
0.39,30.04,-0.019,99.640
0.39,30.04,-0.019,99.640
0.39,30.04,-0.019,99.640
0.39,30.04,-0.019,99.640
0.39,30.04,-0.019,99.640
0.40,30.04,-0.019,99.640
0.40,30.04,-0.019,99.640
0.40,30.04,-0.019,99.640
0.40,30.04,-0.019,99.640
0.40,30.04,-0.019,99.640
0.40,30.04,-0.019,99.640
0.40,30.04,-0.019,99.640
0.41,30.04,-0.019,99.640
0.41,30.04,-0.019,99.640
0.41,30.04,-0.019,99.640
0.41,30.04,-0.019,99.640
0.41,30.04,-0.019,99.639
0.41,30.04,-0.019,99.639
0.42,30.04,-0.019,99.639
0.42,30.04,-0.019,99.639
0.42,30.04,-0.019,99.639
0.42,30.04,-0.019,99.639
0.42,30.04,-0.019,99.639
0.43,30.04,-0.019,99.639
0.43,30.04,-0.019,99.639
0.43,30.04,-0.019,99.639
0.43,30.04,-0.019,99.639
0.43,30.04,-0.019,99.639
0.43,30.04,-0.019,99.639
0.44,30.04,-0.019,99.639
0.44,30.04,-0.019,99.639
0.44,30.04,-0.019,99.639
0.44,30.04,-0.019,99.639
0.44,30.04,-0.019,99.639
0.44,30.04,-0.019,99.639
0.45,30.04,-0.019,99.639
0.45,30.04,-0.019,99.639
0.45,30.04,-0.019,99.639
0.45,30.04,-0.019,99.639
0.45,30.04,-0.019,99.639
0.45,30.04,-0.019,99.639
0.45,30.04,-0.019,99.639
0.46,30.04,-0.019,99.638
0.46,30.04,-0.019,99.638
0.46,30.04,-0.019,99.638
0.46,30.04,-0.019,99.638
0.46,30.04,-0.019,99.638
0.46,30.04,-0.019,99.638
